tile_size,cutile_time_seconds,cupy_time_seconds,speedup_vs_cupy,max_abs_diff_vs_cpu
64,0.00957377,0.01155622,1.2071,0.00000000
128,0.00938543,0.01155622,1.2313,0.00000000
256,0.00937601,0.01155622,1.2325,0.00000000
512,0.00937222,0.01155622,1.2330,0.00000000
